PSOS_MMW_Name,COUNCIL NAME,WARD CODE,Population_Census_2022-03-20,Area,longitude,latitude,CALENDAR YEAR,CALENDAR MONTH,"Alcohol offences, travelling to and from sporting event",Breach of football banning order,Breach of the peace,Carrying of Knives etc S Act 1993,Drunk in or attempting to enter designated sports ground,Mobbing and rioting,Offensive behaviour at football (OBaFaTBSA 2012),Permitting riotous behaviour in licensed premises,Possession of an offensive weapon,Possession of offensive weapon used in other criminal activity,Public mischief - including wasting police time,Racially aggravated conduct,Racially aggravated harassment,Serious Assault,Sports grounds offences possessing alcohol etc,Stirring up hatred: Racial,Threatening or abusive behaviour,TOTAL DETECTED CRIME
Dennistoun,Glasgow City,S13002988,20274.0,5.2146,-4.21872,55.868622,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,17.0,22.0
Denny and Banknock,Falkirk,S13002611,19390.0,54.384,-3.95256,56.01721,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Dingwall and Seaforth,Highland,S13002670,13029.0,112.93,-4.47876,57.57578,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Doon Valley,East Ayrshire,S13002561,11062.0,261.1,-4.44165,55.19258,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Drum Brae/Gyle,City of Edinburgh,S13002585,23638.0,7.2221,-3.29745,55.94447,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Drumchapel/Anniesland,Glasgow City,S13002654,28881.0,7.2633,-4.36244,55.90475,2023,3,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,17.0
Dumbarton,West Dunbartonshire,S13002816,16979.0,46.294,-4.5232,55.9463,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,18.0
Dunbar and East Linton,East Lothian,S13002576,15764.0,188.38,-2.54797,55.95922,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
Dunblane and Bridge of Allan,Stirling,S13002809,14244.0,69.338,-3.92302,56.18499,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
Dunfermline Central,Fife,S13002620,21423.0,20.701,-3.47288,56.07094,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,11.0
Dunfermline North,Fife,S13002619,15872.0,18.319,-3.44636,56.08779,2023,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0
Dunfermline South,Fife,S13002621,23343.0,8.332,-3.42557,56.05739,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
Dunoon,Argyll and Bute,S13002522,7217.0,71.35,-5.00475,55.906631,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0
Dyce/Bucksburn/Danestone,Aberdeen City,S13002476,21937.0,48.016,-2.222,57.20009,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
East Berwickshire,Scottish Borders,S13002767,11381.0,296.1,-2.22726,55.82954,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
East Centre,Glasgow City,S13002658,27888.0,6.3155,-4.19431,55.86392,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,26.0,32.0
East End,Dundee City,S13002551,15438.0,5.3029,-2.91768,56.476109,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0
East Garioch,Aberdeenshire,S13002500,14044.0,120.84,-2.24764,57.23842,2023,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
East Kilbride Central North,South Lanarkshire,S13002794,15947.0,4.2766,-4.17724,55.76423,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0
East Kilbride Central South,South Lanarkshire,S13002793,14890.0,3.8553,-4.18654,55.75666,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,13.0
East Kilbride East,South Lanarkshire,S13002796,13363.0,12.72,-4.1435,55.77832,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
East Kilbride South,South Lanarkshire,S13002792,16644.0,8.1453,-4.18794,55.74373,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0
East Kilbride West,South Lanarkshire,S13002795,16302.0,24.984,-4.22892,55.77139,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
East Livingston and East Calder,West Lothian,S13002824,22298.0,110.69,-3.48398,55.817749,2023,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0
"East Mainland, South Ronaldsay and Burray",Orkney Islands,S13002736,3363.0,147.49,-2.87151,58.932468,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
East Neuk and Landward,Fife,S13002637,12630.0,222.92,-2.78495,56.25647,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
East Sutherland and Edderton,Highland,S13002666,7696.0,1466.4,-4.00772,58.09366,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eilean a Cheo,Highland,S13002999,10686.0,1751.6,-6.22733,57.4258,2023,3,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
Elgin City North,Moray,S13002701,12113.0,5.5111,-3.3136,57.65577,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0
Elgin City South,Moray,S13002702,12785.0,9.2678,-3.32333,57.63683,2023,3,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0
Ellon and District,Aberdeenshire,S13002497,14928.0,196.7,-2.0315,57.36435,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Erskine & Inchinnan,Renfrewshire,S13002760,16500.0,14.945,-4.44523,55.89325,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,8.0
Falkirk North,Falkirk,S13002614,21655.0,10.632,-3.77143,56.00772,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,20.0
Falkirk South,Falkirk,S13002615,16330.0,25.463,-3.81118,55.9859,2023,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,17.0
Fauldhouse and the Breich Valley,West Lothian,S13002825,16214.0,75.058,-3.64098,55.826618,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,11.0,17.0
Fochabers Lhanbryde,Moray,S13002699,10181.0,227.95,-3.11752,57.64101,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,7.0
Forfar & District,Angus,S13002510,15730.0,67.796,-2.85796,56.65277,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Forres,Moray,S13002703,15605.0,288.55,-3.62406,57.53487,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Forth,City of Edinburgh,S13002586,32036.0,5.5834,-3.22814,55.97685,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Forth and Endrick,Stirling,S13002808,12863.0,464.23,-4.354,56.09125,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,10.0
Fortissat,North Lanarkshire,S13002723,16116.0,113.59,-3.81892,55.81913,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0
Fountainbridge/Craiglockhart,City of Edinburgh,S13002591,23937.0,5.112,-3.23221,55.92401,2023,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,14.0
Fraserburgh and District,Aberdeenshire,S13002491,15692.0,66.636,-1.99478,57.64321,2023,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,11.0
Ft William and Ardnamurchan,Highland,S13002683,11166.0,2559.2,-5.67669,56.77799,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,11.0
Galashiels and District,Scottish Borders,S13002763,15336.0,211.94,-2.92841,55.732128,2023,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,15.0,20.0
Garscadden/Scotstounhill,Glasgow City,S13002653,29482.0,5.7193,-4.36238,55.88737,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,17.0
George St/Harbour,Aberdeen City,S13002483,21243.0,3.7936,-2.09256,57.15088,2023,3,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,9.0,24.0
Giffnock and Thornliebank,East Renfrewshire,S13002579,16052.0,5.8814,-4.30074,55.8021,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Girvan and South Carrick,South Ayrshire,S13002786,10660.0,717.94,-4.71962,55.15657,2023,3,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,14.0
Glenboig and Moodiesburn,North Lanarkshire,S13003047,9744.0,26.1,-4.05326,55.90234,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Glenrothes Central and Thornton,Fife,S13002633,15492.0,31.711,-3.12884,56.17472,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,20.0
"Glenrothes North, Leslie and Markinch",Fife,S13002632,17928.0,45.775,-3.17791,56.21357,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Glenrothes West and Kinglassie,Fife,S13002631,15626.0,22.502,-3.22393,56.17955,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,9.0
Govan,Glasgow City,S13002645,27410.0,8.0485,-4.32206,55.85679,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,0.0,28.0,40.0
Grangemouth,Falkirk,S13002610,16016.0,12.188,-3.70864,56.02212,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
Greater Pollok,Glasgow City,S13002643,32890.0,11.726,-4.35224,55.81525,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,11.0,16.0
Haddington and Lammermuir,East Lothian,S13002575,20428.0,319.04,-2.73576,55.90393,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0
Hamilton North and East,South Lanarkshire,S13002803,15045.0,15.169,-4.02582,55.77665,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,20.0
Hamilton South,South Lanarkshire,S13002805,21097.0,5.2163,-4.0527,55.76124,2023,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,10.0,18.0
Hamilton West and Earnock,South Lanarkshire,S13002804,19694.0,21.804,-4.11279,55.75511,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0
Hawick and Denholm,Scottish Borders,S13002770,9159.0,241.3,-2.67087,55.408649,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
Hawick and Hermitage,Scottish Borders,S13002771,8551.0,629.06,-2.83801,55.271999,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Hazlehead/Queens Cross/Countesswells,Aberdeen City,S13002844,19796.0,11.256,-2.1713,57.136902,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0
Heldon and Laich,Moray,S13002700,13867.0,172.75,-3.38593,57.652,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Helensburgh Central,Argyll and Bute,S13002525,9515.0,5.4243,-4.74125,56.010262,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0
Helensburgh and Lomond South,Argyll and Bute,S13002526,7328.0,54.274,-4.67029,56.001549,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Helensburgh and Lomond South,West Dunbartonshire,S13002526,7328.0,54.274,-4.67029,56.001549,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helensburgh and Lomond South,Inverclyde,S13002526,7328.0,54.274,-4.67029,56.001549,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Highland,Perth and Kinross,S13002741,8927.0,2304.9,-4.09378,56.70574,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Hillhead,Glasgow City,S13002651,24939.0,2.9222,-4.28276,55.87612,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.0
Hilton/Woodside/Stockethill,Aberdeen City,S13002480,14325.0,2.6338,-2.13175,57.16536,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0
"Houston, Crosslee & Linwood",Renfrewshire,S13002758,16467.0,25.866,-4.51512,55.86396,2023,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0
Howe of Fife and Tay Coast,Fife,S13002634,13319.0,269.13,-3.16895,56.30095,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
"Huntly, Strathbogie and Howe of Alford",Aberdeenshire,S13002502,15536.0,800.75,-2.74199,57.33951,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Inverclyde Central,Inverclyde,S13003013,11140.0,10.618,-4.752,55.928211,2023,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
Inverclyde East,Inverclyde,S13002684,11273.0,86.856,-4.69347,55.88601,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inverclyde East Central,Inverclyde,S13002685,10267.0,6.6017,-4.76207,55.92774,2023,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0
Inverclyde North,Inverclyde,S13002686,12854.0,3.9421,-4.77145,55.95144,2023,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,10.0,16.0
Inverclyde South,Inverclyde,S13002687,10410.0,3.3553,-4.79119,55.94352,2023,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
Inverclyde South West,Inverclyde,S13002689,12228.0,44.225,-4.83512,55.91475,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Inverclyde West,Inverclyde,S13002688,10254.0,6.3659,-4.85418,55.94551,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inverkeithing and Dalgety Bay,Fife,S13002623,17794.0,36.83,-3.33606,56.05554,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
Inverleith,City of Edinburgh,S13002587,30357.0,7.7373,-3.23517,55.96,2023,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
Inverness Central,Highland,S13002676,12171.0,3.6107,-4.24542,57.48227,2023,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,16.0
Inverness Millburn,Highland,S13002678,9537.0,8.6042,-4.21129,57.48007,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
Inverness Ness-side,Highland,S13003004,11114.0,10.897,-4.2346,57.442699,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Inverness South,Highland,S13002681,16656.0,522.41,-4.0999,57.338,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Inverness West,Highland,S13002675,10175.0,8.7238,-4.26487,57.46524,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0
Inverurie and District,Aberdeenshire,S13002499,15808.0,45.675,-2.36319,57.2744,2023,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0
Irvine East,North Ayrshire,S13002705,12812.0,23.212,-4.59557,55.63551,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Irvine South,North Ayrshire,S13003041,10907.0,27.424,-4.6373,55.596588,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,12.0
Irvine Valley,East Ayrshire,S13002558,11453.0,118.71,-4.34248,55.64126,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,10.0
Irvine West,North Ayrshire,S13002704,15518.0,8.0288,-4.63587,55.60368,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0
Isle of Bute,Argyll and Bute,S13002523,6070.0,123.85,-5.11116,55.83564,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,12.0
Jedburgh and District,Scottish Borders,S13002769,9003.0,386.08,-2.51689,55.476341,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
"Johnstone North, Kilbarchan, Howwood and Lochwinnoch",Renfrewshire,S13003083,14896.0,98.927,-4.61446,55.808128,2023,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
Johnstone South and Elderslie,Renfrewshire,S13003082,17142.0,11.052,-4.50172,55.817692,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0
Keith and Cullen,Moray,S13002697,9649.0,254.41,-2.84223,57.617,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Kelso and District,Scottish Borders,S13002768,10212.0,342.86,-2.38532,55.533901,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
Kilbirnie and Beith,North Ayrshire,S13002710,12931.0,50.19,-4.71845,55.77893,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0
Kilmarnock East and Hurlford,East Ayrshire,S13002556,14929.0,10.328,-4.46888,55.60801,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,19.0
Kilmarnock North,East Ayrshire,S13002554,13028.0,7.1323,-4.48945,55.63189,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,8.0
Kilmarnock South,East Ayrshire,S13002557,10793.0,8.4642,-4.51209,55.58422,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0
Kilmarnock West and Crosshouse,East Ayrshire,S13002555,16125.0,17.529,-4.53765,55.61269,2023,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,17.0,23.0
Kilpatrick,West Dunbartonshire,S13002817,11607.0,23.85,-4.4331,55.94976,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0
Kilsyth,North Lanarkshire,S13002712,12747.0,58.219,-4.0544,55.99135,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,12.0
Kilwinning,North Ayrshire,S13002706,16982.0,52.121,-4.69895,55.67282,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,10.0
Kincorth/Nigg/Cove,Aberdeen City,S13002488,16102.0,15.058,-2.08737,57.10744,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Kingswells/Sheddocksley/Summerhill,Aberdeen City,S13002478,14523.0,14.289,-2.2122,57.15856,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0
Kinross-shire,Perth and Kinross,S13002745,14119.0,273.82,-3.44398,56.22882,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
Kintyre and the Islands,Argyll and Bute,S13002517,6353.0,1625.7,-6.17158,55.759499,2023,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kirkcaldy Central,Fife,S13002629,14885.0,3.7498,-3.17648,56.11985,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,11.0,18.0
Kirkcaldy East,Fife,S13002630,15275.0,10.856,-3.13728,56.13509,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,19.0
Kirkcaldy North,Fife,S13002628,16446.0,4.9556,-3.19185,56.13286,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
